ID,F115,F321,F527,F531,F670,F1692,F2082,F2122,F2582,F2678,F2737,F2956,F3043,F3836,F3887,F3889,F3891,F3894,F3924
26,0.72,1.13,0.94,1.07,0.0,0.0,0.027149321,0.0,0.43,,-0.37,61.0,144.0,966482.4,171,G365D,selfemployed,65.0,0
27,0.55,1.63,0.89,2.81,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,,73561.23,169,G365D,student,27.0,0
28,0.25,0.88,1.08,0.95,0.0,0.0,0.0,0.0,0.03,-0.27,0.19,163.0,,3017415.75,170,G365D,salaried,62.0,0
29,1.0,1.21,0.0,1.82,0.0,0.0,0.0,0.0,,0.09,0.29,56.0,,461804.84,170,G365D,selfemployed,34.0,0
30,0.56,1.05,0.84,1.14,0.0,0.0,0.0,0.0,-0.01,-0.1,-0.12,651.0,1402.0,607243.26,171,G365D,salaried,35.0,0
31,0.41,1.15,0.69,1.33,1.0,0.0,0.0,0.0,-0.05,-0.32,-0.32,112.0,,9483964.46,170,G365D,student,25.0,0
32,0.77,1.09,0.97,1.22,0.0,0.0,0.0,0.015151515,0.5,,-0.28,45.0,,18902057.21,169,G365D,agriculture,44.0,0
33,0.42,1.29,1.04,1.0,0.0,0.0,0.0,0.0,-0.22,-0.44,0.09,89.0,,4643.69,169,G365D,selfemployed,36.0,0
34,1.0,1.02,1.05,0.94,0.0,0.0,0.0,0.0,-0.41,,-0.34,121.0,,777606.9,170,G365D,salaried,64.0,0
35,0.58,1.19,0.67,1.16,0.0,0.0,0.0,0.0,-0.07,-0.44,-0.45,44.0,,1814069.25,169,G365D,selfemployed,32.0,0
36,0.46,0.69,0.78,0.72,0.0,0.0,0.019417476,0.004672897,0.05,,-0.12,150.0,,15667285.65,169,G365D,salaried,37.0,0
37,0.52,1.48,0.77,1.07,0.0,0.0,0.0,0.0,-0.01,0.04,-0.04,164.0,,33905.35,168,G365D,agriculture,32.0,0
38,0.51,1.56,1.23,2.98,0.0,0.0,0.0,0.0,-0.08,-0.44,-0.63,224.0,,66082.49,170,G365D,agriculture,26.0,0
39,0.47,0.8,0.91,1.09,0.0,0.0,0.0,0.0,,-0.23,-0.5,12.0,,873619.32,169,G365D,student,28.0,0
40,0.43,1.35,0.0,0.84,0.0,1.0,0.0,1.0,,0.0,-0.21,12.0,12.0,346769.12,169,G365D,selfemployed,37.0,0
41,0.7,1.96,1.08,2.59,0.0,0.0,0.0,0.0,,-0.08,-0.4,14.0,16.0,75817.85,169,G365D,agriculture,36.0,0
42,0.48,2.01,0.9,4.03,1.0,0.0,0.0,0.0,0.28,,1.39,73.0,,121510.84,169,G365D,agriculture,32.0,0
43,0.57,1.51,0.96,1.79,0.0,0.0,0.0,0.0,,0.79,0.34,8.0,15.0,4317833.45,169,G365D,agriculture,28.0,0
44,0.41,1.0,1.71,0.7,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,7380887.84,168,G365D,selfemployed,32.0,0
45,0.3,1.18,0.93,0.83,0.0,0.0,0.0,0.0,,-0.44,-0.52,23.0,,2306636.42,170,G365D,student,33.0,0
46,0.52,1.73,0.47,1.54,0.0,1.0,0.0,0.25,0.13,0.02,-0.42,235.0,,2225360.25,170,G365D,selfemployed,84.0,0
47,0.47,1.13,1.07,1.18,0.0,0.0,0.0,0.0,-0.45,0.06,-0.04,145.0,,4702616.66,168,G365D,selfemployed,84.0,0
48,0.38,0.99,1.19,0.94,0.0,0.0,0.0,0.01,0.08,-0.26,-0.35,234.0,,45800.68,167,G365D,salaried,45.0,0
49,0.42,2.23,1.75,0.24,0.0,0.0,0.0,0.0,-0.07,-0.26,-0.14,160.0,,98880.37,167,G365D,salaried,17.0,0
50,0.28,1.23,0.38,1.66,1.0,0.0,0.0,0.0,0.06,-0.13,0.05,126.0,,456595.83,169,G365D,agriculture,40.0,0
51,0.43,1.08,0.93,1.51,0.0,0.0,0.0,0.0,,-0.33,-0.41,6.0,,635549.62,170,G365D,student,27.0,0
52,0.48,1.2,1.22,1.83,0.0,6.0,0.0,0.011538462,0.1,-0.49,-0.21,88.0,175.0,401.65,169,G365D,salaried,37.0,0
53,0.5,1.31,1.11,1.91,0.0,1.0,0.0,1.0,0.41,0.87,-0.57,38.0,72.0,992784.72,170,G365D,selfemployed,35.0,0
54,1.0,1.09,0.82,1.9,0.0,0.0,0.0,0.008196721,0.79,-0.36,-0.26,105.0,,6608.37,169,G365D,salaried,42.0,0
55,0.52,1.48,0.91,2.72,0.0,0.0,0.0,0.0,,,-0.48,10.0,,1817645.71,169,G365D,salaried,39.0,0
56,0.44,1.61,0.73,3.26,0.0,0.0,0.0,0.0,-0.39,-0.22,-0.53,121.0,,685.92,167,G365D,agriculture,47.0,0
57,0.56,1.17,1.25,1.32,0.0,0.0,0.0,0.0,0.25,0.03,-0.11,158.0,,88825608.47,170,G365D,selfemployed,14.0,0
58,0.91,1.18,0.72,1.42,0.0,0.0,0.0,0.0,,0.07,-0.16,361.0,898.0,-3252906222.0,167,G365D,agriculture,32.0,0
59,0.61,1.42,0.68,1.73,1.0,1.0,0.0,0.028571429,-0.02,,-0.09,155.0,,105070764.0,169,G365D,agriculture,30.0,0
60,0.44,1.29,1.7,1.24,1.0,0.0,0.0,0.0,-0.11,,-0.14,149.0,,1429406.71,168,G365D,student,32.0,0
61,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.24,-0.14,-0.24,37.0,,145734.82,168,G365D,agriculture,62.0,0
62,0.48,0.77,0.86,0.86,0.0,1.0,0.0,0.111111111,0.56,-0.45,-0.45,26.0,,289214.81,166,G365D,agriculture,70.0,0
63,0.4,1.12,1.53,1.0,0.0,0.0,0.0,0.026490066,-0.39,,-0.03,52.0,,68316.69,168,G365D,housewife,59.0,0
64,0.49,1.02,1.0,1.22,0.0,0.0,0.0,0.0,,1.68,1.99,22.0,,223196.55,167,G365D,housewife,50.0,0
65,1.0,0.83,1.01,0.91,0.0,0.0,0.0,0.0,0.31,0.01,0.15,119.0,,56237740.85,166,G365D,agriculture,32.0,0
66,0.44,0.92,1.03,0.76,0.0,0.0,0.0,0.0,1.35,-0.52,-0.26,118.0,301.0,446465.48,168,G365D,selfemployed,51.0,0
67,0.62,1.33,1.08,1.38,0.0,0.0,0.0,0.0,0.07,-0.33,-0.33,134.0,,272283.53,169,G365D,salaried,29.0,0
68,0.8,0.76,0.0,1.84,0.0,0.0,0.0,0.0,,,0.34,,,1177773.38,169,G365D,student,30.0,0
69,0.57,1.71,3.0,2.93,0.0,0.0,0.0,0.048780488,,-0.33,-0.32,3.0,,228893.12,169,G365D,salaried,34.0,0
70,0.73,1.25,1.29,1.22,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1759381.29,167,G365D,housewife,47.0,0
71,0.45,1.17,0.93,1.97,1.0,0.0,0.0,0.0,1.79,-0.4,0.97,65.0,,140918.82,168,G365D,student,33.0,0
72,0.43,1.19,0.87,2.09,0.0,0.0,0.0,0.004329004,0.44,0.03,-0.03,297.0,,304056.96,168,G365D,student,31.0,0
73,0.48,1.02,0.96,1.08,0.0,0.0,0.0,0.004347826,-0.34,-0.38,-0.19,92.0,,851385.74,168,G365D,selfemployed,49.0,0
74,0.44,0.88,0.95,1.0,0.0,0.0,0.0,0.004273504,,,0.25,,81.0,1997580.44,168,G365D,salaried,38.0,0
75,0.42,1.5,0.57,3.27,0.0,0.0,0.0,0.008403361,0.08,-0.4,-0.35,90.0,,147599.81,167,G365D,student,29.0,0
76,0.52,1.06,0.99,1.03,0.0,0.0,0.0,0.0,0.54,-0.61,-0.7,40.0,,392669.25,166,G365D,student,32.0,0
77,0.57,0.91,0.93,1.15,0.0,0.0,0.0,0.0,-0.1,0.38,-0.35,116.0,230.0,188656.89,168,G365D,student,24.0,0
78,0.87,1.3,1.02,1.34,0.0,0.0,0.0,0.0,-0.06,-0.1,-0.31,118.0,237.0,15364.78,168,G365D,student,34.0,0
79,0.59,1.14,0.9,1.69,0.0,0.0,0.0,0.0,0.03,0.36,-0.35,104.0,229.0,5796025.43,167,G365D,student,30.0,0
80,0.67,1.0,1.5,1.45,0.0,0.0,0.0,0.0,-0.01,0.06,0.23,167.0,,33165.84,167,G365D,selfemployed,41.0,0
81,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,-0.18,0.83,-0.39,103.0,,12863.86,168,G365D,selfemployed,41.0,0
82,0.85,1.13,1.16,1.33,0.0,0.0,0.0,0.0,0.27,-0.38,-0.47,160.0,,1315424.0,165,G365D,agriculture,48.0,0
83,0.61,1.46,0.95,1.49,0.0,2.0,0.0,0.006042296,,-0.41,-0.67,29.0,,297538.79,165,G365D,agriculture,37.0,0
84,0.48,1.21,1.25,1.2,0.0,0.0,0.076923077,0.0,,,-0.29,,,721852.48,167,G365D,selfemployed,38.0,0
85,0.57,1.44,0.81,1.47,0.0,0.0,0.0,0.002020202,,3.49,-0.23,19.0,,17394.92,165,G365D,student,27.0,0
86,0.39,0.89,0.0,4.19,0.0,0.0,0.0,0.0,0.0,-0.17,-0.07,18.0,,136848.17,166,G365D,salaried,32.0,0
87,0.5,1.16,1.04,1.51,0.0,0.0,0.0,0.0,0.02,-0.54,-0.35,93.0,,2582657.5,167,G365D,selfemployed,5.0,0
88,0.35,1.18,0.92,1.52,0.0,1.0,0.0,0.016129032,,,0.0,,9.0,2710062.34,165,G365D,selfemployed,37.0,0
89,0.56,1.3,1.01,1.93,0.0,0.0,0.0,0.0,0.13,0.31,0.45,134.0,,2786721.29,167,G365D,agriculture,30.0,0
90,0.57,1.28,0.79,1.88,0.0,0.0,0.0,0.0,-0.03,-0.08,0.23,185.0,331.0,32259.87,166,G365D,selfemployed,45.0,0
91,0.89,1.31,0.96,1.98,0.0,0.0,0.169924812,0.013452915,0.0,,0.39,288.0,494.0,524778.2,165,G365D,housewife,49.0,0
92,0.41,1.74,1.13,1.56,0.0,0.0,0.0,0.0,0.11,0.33,-0.34,62.0,142.0,938536.22,168,G365D,selfemployed,41.0,0
93,0.4,0.39,0.28,2.65,0.0,0.0,0.0,0.012345679,0.3,8.19,-0.15,116.0,,77048.37,167,G365D,agriculture,62.0,0
94,0.36,1.0,0.42,1.72,0.0,0.0,0.0,0.0,-0.03,-0.19,-0.2,115.0,244.0,1506480.36,165,G365D,selfemployed,37.0,0
95,0.47,1.02,0.99,1.14,0.0,0.0,0.0,0.0,-0.1,,-0.2,97.0,,104797.6,168,G365D,agriculture,36.0,0
96,0.87,1.34,0.74,3.2,0.0,0.0,0.0,0.25,,,,,2.0,77762.55,167,G365D,agriculture,46.0,0
97,0.58,1.87,0.72,2.58,1.0,0.0,0.0,0.0,,,0.0,,,23508350.69,167,G365D,agriculture,46.0,0
98,0.56,0.75,1.05,0.66,0.0,0.0,0.0,0.008064516,-0.1,0.1,-0.19,130.0,,48139590.75,166,G365D,housewife,65.0,0
99,0.46,0.97,0.94,1.14,0.0,0.0,0.0,0.0,-0.29,-0.38,-0.63,122.0,197.0,103164.36,167,G365D,selfemployed,16.0,0
100,0.52,1.06,0.89,1.16,0.0,1.0,0.0,0.003311258,0.06,0.74,0.39,664.0,1337.0,6563173.72,165,G365D,salaried,44.0,0
101,0.39,0.93,1.05,0.76,0.0,0.0,0.0,0.0,0.02,-0.07,-0.1,166.0,,7246548.08,165,G365D,selfemployed,41.0,0
102,0.48,1.12,1.3,1.14,1.0,0.0,0.0,0.071428571,0.03,-0.1,-0.24,173.0,,284650.44,168,G365D,selfemployed,42.0,0
103,0.58,1.29,0.84,1.62,0.0,0.0,0.0,0.0,,,-0.51,,28.0,7796465.04,165,G365D,student,33.0,0
104,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.06,-0.54,-0.32,47.0,156.0,4399421.67,167,G365D,student,33.0,0
105,0.45,0.85,1.07,0.97,0.0,0.0,0.0,0.0,,,0.0,,2.0,853345.63,167,G365D,selfemployed,47.0,0
106,0.49,0.88,1.0,0.89,0.0,0.0,0.0,0.0,-0.06,0.35,0.0,144.0,,1787.5,165,G365D,selfemployed,40.0,0
107,0.56,0.9,0.63,2.91,0.0,0.0,0.0,0.0,-0.3,,0.52,58.0,,187163.1,167,G365D,agriculture,35.0,0
108,0.58,0.95,1.0,1.16,0.0,0.0,0.01754386,0.0,0.19,-0.53,-0.48,53.0,,516861.25,166,G365D,agriculture,35.0,0
109,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,-0.59,6.0,,32501.06,165,G365D,salaried,45.0,0
110,0.44,0.97,1.09,1.06,0.0,0.0,0.0,0.003731343,-0.07,-0.3,0.14,83.0,198.0,5360771.92,121,G365D,student,34.0,0
111,1.0,0.01,0.75,,0.0,0.0,0.0,0.0,-0.01,,-0.55,30.0,,5294861.2,168,G365D,student,22.0,0
112,0.76,0.16,0.53,1.57,0.0,0.0,0.034188034,0.0,0.13,-0.04,0.04,93.0,,7308049.48,166,G365D,agriculture,47.0,0
113,0.61,1.15,1.06,1.43,0.0,0.0,0.016393443,0.0,0.36,-0.44,-0.6,96.0,172.0,351642.48,166,G365D,salaried,23.0,0
114,0.4,1.0,,1.35,0.0,0.0,0.0,0.333333333,0.05,0.05,0.69,151.0,301.0,27590.75,165,G365D,salaried,36.0,0
115,0.43,0.77,1.27,0.92,0.0,2.0,0.0,0.047619048,0.28,0.4,0.3,139.0,,8492403.22,167,G365D,agriculture,45.0,0
116,0.3,1.03,1.18,0.74,0.0,0.0,0.0,0.0,0.09,,1.65,34.0,,7480477.3,165,G365D,agriculture,41.0,0
117,,,,,0.0,0.0,0.0,0.0,,,-0.17,5.0,,7956686.57,166,G365D,agriculture,35.0,0
118,0.82,1.34,1.49,1.86,0.0,0.0,0.0,0.0,,,0.0,,5.0,13244309.34,164,G365D,agriculture,35.0,0
119,0.66,1.14,1.05,1.59,0.0,0.0,0.0,0.0,,,1.53,,7.0,1023688.85,166,G365D,selfemployed,52.0,0
120,0.67,1.1,0.92,1.19,0.0,0.0,0.008695652,0.021359223,-0.09,0.36,0.33,61.0,,117275.28,166,G365D,selfemployed,26.0,0
121,0.48,1.06,1.27,1.08,0.0,1.0,0.0,0.009345794,0.41,,0.18,12.0,,2009565.14,167,G365D,student,35.0,0
122,0.49,1.39,0.77,1.69,0.0,0.0,0.0,0.0,0.62,0.6,0.68,103.0,,263762.78,164,G365D,agriculture,41.0,0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.105263158,0.0,,,-0.12,7.0,7.0,2720867.2,167,G365D,student,36.0,0
124,0.0,,0.0,,0.0,0.0,0.0,0.0,-0.05,-0.36,-0.35,219.0,524.0,1752851.63,166,G365D,student,31.0,0
125,0.91,1.0,1.1,1.1,1.0,0.0,0.0,0.019047619,-0.3,-0.34,-0.45,118.0,,2049329.54,164,G365D,student,32.0,0
126,0.49,0.36,0.69,0.32,0.0,1.0,0.0,0.021276596,,,-0.14,5.0,5.0,146889.71,166,G365D,selfemployed,14.0,0
127,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.59,1.11,0.44,58.0,126.0,37240.96,165,G365D,student,31.0,0
128,0.47,1.0,1.46,0.48,0.0,0.0,0.0,0.003610108,,0.0,0.0,1.0,,1181259.91,164,G365D,salaried,42.0,0
129,1.0,1.08,1.01,1.08,0.0,0.0,0.0,0.0,0.04,-0.29,-0.29,112.0,218.0,821348.84,165,G365D,student,32.0,0
130,0.54,0.91,0.48,2.01,0.0,0.0,0.0,0.011235955,0.01,0.14,-0.46,73.0,,13920262.27,164,G365D,agriculture,28.0,0
131,0.67,1.38,1.3,1.14,0.0,1.0,0.090909091,0.083333333,-0.05,-0.36,-0.47,65.0,,106643.66,164,G365D,selfemployed,38.0,0
132,0.47,1.37,1.08,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,,218390.57,164,G365D,agriculture,48.0,0
133,0.47,1.26,1.22,1.93,0.0,0.0,0.0,0.0,,0.38,0.05,42.0,82.0,65626.38,164,G365D,selfemployed,37.0,0
134,1.0,1.16,0.0,1.2,0.0,0.0,0.0,0.0,-0.44,3.13,0.75,71.0,,35998.9,165,G365D,selfemployed,37.0,0
135,0.46,1.36,0.78,2.25,0.0,0.0,0.0,0.0,-0.05,-0.22,-0.29,52.0,,238135.67,165,G365D,student,33.0,0
136,1.0,,,,0.0,0.0,0.0,0.0,,-0.13,-0.6,68.0,81.0,20324549.78,163,G365D,salaried,36.0,0
137,0.5,1.2,0.9,0.95,0.0,0.0,0.0,0.0,,-0.02,2.17,14.0,,120675.65,165,G365D,agriculture,40.0,0
138,0.6,0.78,1.38,0.88,0.0,0.0,0.0,0.005555556,0.3,-0.07,-0.36,229.0,514.0,2498479.73,163,G365D,student,32.0,0
139,0.62,0.6,0.86,0.9,0.0,2.0,0.0,0.090909091,,-0.02,-0.02,69.0,,2036522.1,165,G365D,agriculture,56.0,0
140,0.72,1.3,0.9,0.44,0.0,0.0,0.0,0.0,0.17,,-0.79,48.0,108.0,568646.59,165,G365D,agriculture,75.0,0
141,0.67,1.0,1.5,0.87,0.0,0.0,0.0,0.333333333,,0.43,0.56,41.0,,1287032.4,164,G365D,selfemployed,41.0,0
142,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.41,0.23,-0.23,189.0,,11074.36,164,G365D,retired,74.0,0
143,0.86,1.66,0.89,1.85,0.0,0.0,0.0,0.0,,-0.04,-0.02,75.0,137.0,16839350.62,165,G365D,salaried,32.0,0
144,0.48,1.44,1.49,2.66,0.0,0.0,0.2,0.0,,,0.0,3.0,,178588.15,166,G365D,selfemployed,54.0,0
145,0.61,1.01,1.07,1.13,0.0,0.0,0.0,0.0,,,-0.4,,4.0,82030.62,165,G365D,agriculture,87.0,0
146,0.65,1.23,1.3,1.88,0.0,0.0,0.0,0.0,-0.45,-0.42,-0.52,43.0,,2785223.22,165,G365D,selfemployed,15.0,0
147,0.74,1.53,1.43,0.62,0.0,0.0,0.0,0.083333333,-0.17,-0.04,0.0,131.0,,4488783.81,164,G365D,selfemployed,39.0,0
148,0.93,1.0,0.64,1.04,0.0,0.0,0.0,0.0,-0.04,-0.59,-0.09,112.0,285.0,1796210.68,164,G365D,selfemployed,40.0,0
149,0.97,1.0,0.77,1.01,0.0,0.0,0.0,0.0,,,0.0,,,266916.56,163,G365D,salaried,43.0,0
150,0.53,1.37,1.56,1.95,0.0,0.0,0.0,0.0,-0.11,,0.0,80.0,,1441.58,108,G365D,selfemployed,40.0,0
151,0.46,2.81,0.93,4.07,0.0,0.0,0.0,0.0,-0.09,-0.43,-0.63,57.0,,590487.72,114,G365D,salaried,41.0,0
152,0.38,0.86,1.04,0.25,0.0,0.0,0.0,0.0,0.43,,-0.51,20.0,32.0,4403254.06,114,G365D,salaried,41.0,0
153,0.58,0.77,0.66,2.13,1.0,0.0,0.0,0.000985222,-0.13,-0.1,-0.05,101.0,,-453227.9,164,G365D,housewife,50.0,0
154,1.0,1.0,1.0,1.0,1.0,1.0,0.066666667,0.027777778,,-0.17,-0.42,73.0,,4150592.88,164,G365D,student,31.0,0
155,0.56,1.11,0.96,0.95,0.0,1.0,0.0,0.5,0.07,,-0.16,148.0,,6470172.34,162,G365D,student,30.0,0
156,0.37,1.32,0.58,1.53,0.0,0.0,0.0,0.0,0.02,-0.05,-0.43,138.0,,30908.14,163,G365D,agriculture,53.0,0
157,0.56,1.37,0.55,1.55,0.0,0.0,0.019230769,0.0,0.1,-0.56,-0.18,28.0,,1115540.37,162,G365D,salaried,32.0,0
158,0.55,0.89,1.0,1.03,0.0,0.0,0.0,0.0,,-0.52,-0.66,22.0,,1938461.23,162,G365D,student,27.0,0
159,1.0,0.81,1.25,0.63,0.0,0.0,0.0,0.008955224,0.01,0.18,-0.04,73.0,,376486.52,162,G365D,housewife,69.0,0
160,0.49,1.32,1.03,1.75,0.0,0.0,0.0,0.0,0.39,,-0.08,61.0,96.0,81991.8,162,G365D,salaried,41.0,0
161,0.55,1.38,0.73,1.75,0.0,0.0,0.0,0.0,0.26,,-0.58,85.0,,30223.16,163,G365D,agriculture,49.0,0
162,0.43,1.43,1.8,1.21,0.0,0.0,0.0,0.0,0.1,0.02,-0.13,221.0,,113201.36,165,G365D,salaried,43.0,0
163,0.34,1.35,1.04,1.74,0.0,1.0,0.105263158,0.043478261,0.08,0.32,0.23,400.0,,5885848.75,165,G365D,salaried,55.0,0
164,0.44,1.05,1.03,1.01,0.0,0.0,0.018518519,0.011627907,0.0,0.0,0.0,11.0,,105295868.3,107,G365D,selfemployed,37.0,0
165,0.67,1.06,0.53,1.09,0.0,0.0,0.0,0.0,-0.14,-0.3,-0.32,44.0,,318139.39,107,G365D,selfemployed,37.0,0
166,0.6,0.97,0.0,1.43,0.0,0.0,0.0,0.0,-0.36,-0.15,-0.02,82.0,162.0,188036.93,163,G365D,student,37.0,0
167,0.48,1.16,1.11,1.72,0.0,0.0,0.0,0.0,,-0.33,-0.35,24.0,,349276.8,133,G365D,agriculture,39.0,0
168,0.57,0.96,0.86,0.8,0.0,0.0,0.0,0.002645503,,,-0.44,,8.0,1367553.52,163,G365D,student,26.0,0
169,0.4,1.64,1.41,1.3,0.0,0.0,0.0,0.0,,,-0.2,4.0,,487589.09,162,G365D,selfemployed,26.0,0
170,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.014285714,-0.03,,0.01,915.0,1014.0,2760833.44,162,G365D,agriculture,50.0,0
171,0.44,0.83,1.13,0.97,0.0,1.0,0.0,0.002941176,-0.02,-0.08,0.02,233.0,,85413673.14,162,G365D,selfemployed,41.0,0
172,0.47,1.03,0.68,0.85,0.0,0.0,0.0,0.0625,,-0.48,-0.59,31.0,,1123713.58,165,G365D,student,26.0,0
173,0.34,1.07,1.46,1.53,0.0,0.0,0.0,0.0,,,,,3.0,1213159.64,164,G365D,salaried,45.0,0
174,0.53,0.93,1.37,0.38,0.0,1.0,0.0,0.01826484,0.0,,-0.11,7.0,8.0,91956.74,135,G365D,agriculture,52.0,0
175,0.45,1.26,1.2,2.51,1.0,1.0,0.0,0.333333333,0.34,-0.43,-0.46,105.0,,6594653.39,164,G365D,agriculture,55.0,0
176,0.0,,0.0,,0.0,0.0,0.0,0.0,,-0.33,-0.49,39.0,,1016806.83,118,G365D,selfemployed,43.0,0
177,0.53,0.96,0.78,1.08,0.0,0.0,0.0,0.0,,,-0.33,,2.0,1492025.6,162,G365D,housewife,43.0,0
178,0.54,1.17,1.07,1.1,0.0,0.0,0.0,0.0,,-0.1,-0.12,18.0,22.0,96368.0,165,G365D,salaried,35.0,0
179,1.0,1.14,1.14,,0.0,0.0,0.0,0.0,1.48,-0.51,-0.41,57.0,,4009510.15,163,G365D,salaried,35.0,0
180,0.55,1.38,1.17,1.65,0.0,0.0,0.0,0.0,0.0,-0.11,-0.16,47.0,,2151215.77,163,G365D,selfemployed,36.0,0
181,0.62,1.61,1.06,2.58,0.0,1.0,0.0,0.285714286,-0.22,-0.46,-0.44,110.0,,24180966.66,163,G365D,agriculture,22.0,0
182,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.21,58.0,,2234841.88,163,G365D,selfemployed,54.0,0
183,0.38,1.32,0.87,1.13,0.0,0.0,0.0,0.005970149,,-0.33,-0.77,17.0,,-1049227546.0,165,G365D,housewife,35.0,0
184,0.63,0.73,0.71,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,24580.03,165,G365D,selfemployed,31.0,0
185,0.63,2.91,0.93,4.39,1.0,0.0,0.0,0.0,0.15,-0.14,-0.38,66.0,,211429.46,164,G365D,selfemployed,42.0,0
186,0.55,1.46,1.45,2.37,0.0,0.0,0.0,0.0,,,-0.33,2.0,2.0,2472999.46,165,G365D,selfemployed,35.0,0
187,0.69,1.28,0.83,1.3,0.0,0.0,0.0,0.0,0.03,-0.21,-0.21,146.0,,17727244.95,162,G365D,selfemployed,36.0,0
188,0.5,1.19,0.67,0.99,0.0,0.0,0.0,0.0,0.24,-0.08,-0.27,163.0,,2787.56,163,G365D,retired,72.0,0
